company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Chingari,2018,Bangalore,Media & Entertainment,Short video platform,"AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Seed round,2020,Early Stage
Bolo Indya,2016,Gurugram,Media & Entertainment,User-generated content platform,"Eagle10 Ventures, India Accelerator, HNIs",300000.0,Pre series A1,2020,Early Stage
Data Sutram,2018,Kolkata,Technology,Platform gathers intel from external data to provide location-based data intelligence.,"Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,Venture - Series Unknown,2020,Early Stage
Wobot Intelligence,2016,Delhi,Technology,AI backed video analytics platform,Sequoia Capital India,2500000.0,Pre Series A,2020,Early Stage
DrinkPrime,2016,Bangalore,Manufacturing,Subscription-based Water purifier startup,Sequoia Surge,2879000.0,Pre Series A,2020,Early Stage
Infeedo,2013,Gurugram,Business,An employee engagement HR analytics platform,Y Combinator,700000.0,Venture - Series Unknown,2020,Established
Probus Smart Things,2016,Delhi,Technology,Platform for monitoring distribution sub-station performance and operations,Unicorn India Ventures,3000000.0,Seed round,2020,Early Stage
CrowdPouch,2016,Bangalore,Technology,A reward-based fundraising and preselling platform,Elina Investments,3000000.0,Angel Round,2020,Early Stage
Rebel Foods,2011,Mumbai,Food & Beverages,Cloud kitchen platform,Coatue Management,26500000.0,Series E2,2020,Established
Hevo,2017,Bangalore,Technology,Data pipeline startup,"Qualgro, Lachy Groom",8000000.0,Series A,2020,Early Stage
BigSpoon Foods,2019,Ahmedabad,Food & Beverages,Cloud kitchen startup,"Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre series A,2020,Early Stage
Chingari,2016,Bangalore,Media & Entertainment,Homegrown short video platform,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Seed Round,2020,Early Stage
ShareChat,2015,Bangalore,Media & Entertainment,Indian social network platform,"All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",351000.0,Venture - Series Unknown,2020,Established
DatStop,2016,Delhi,Hospitality,It offers urban social space,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",3000000.0,Venture - Series Unknown,2020,Early Stage
IPHM Services,2016,Mumbai,Health,It helps design programs and workshops for the psychological well-being of individuals,Indian Angel Fund,3000000.0,Seed Round,2020,Early Stage
Wellcure,2016,Gurugram,Health,It caters to all health and wellness needs,Inflection Point Ventures,200000.0,Venture - Series Unknown,2020,Early Stage
VilCart,2018,Bangalore,Commerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",3000000.0,Bridge Round,2020,Early Stage
Firescore,2016,Mumbai,Manufacturing,Game development studio,Crazy Labs,500000.0,Venture - Series Unknown,2020,Early Stage
BulBul,2018,Gurgaon,Commerce,A video and livestream led commerce platform that makes online shopping engaging,Info Edge,3000000.0,Venture - Series Unknown,2020,Early Stage
Toppr,2013,Mumbai,Education,It provides AI-based after school learning app for K12,Foundation Holdings,46761000.0,Series D,2020,Established
Pickright Technologies,2019,Bangalore,Technology,Marketplace for stock market investors and advisors,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed Round,2020,Early Stage
Muse Wearables,2018,Chennai,Technology,It sells the world’s first payment-enabled hybrid smartwatches,Dr. Bhaskar Rao Bollineni,3000000.0,Venture - Series Unknown,2020,Early Stage
SATYA Microcapital,1995,Delhi,Technology,Microfinance company that offers collateral-free credit to micro enterprises,BlueOrchard Finance Limited,3000000.0,Venture - Series Unknown,2020,Established
WYN Studio,2016,Gurugram,Media & Entertainment,It creates video content and podcasts,India Angel Fund,3000000.0,Seed Round,2020,Early Stage
Fourth Partner Energy,2010,Bangalore,Energy,Largest startup in the distributed solar sector,ResponsAbility Investments AG,15000000.0,Venture - Series Unknown,2020,Established
Entri,2017,Kochi,Education,Local language learning startup,Good Capital,1700000.0,Pre series A,2020,Early Stage
Snack Amor,2017,Mumbai,Food & Beverages,Healthy snack startup,Dr Srinivas Chunduru,3000000.0,Venture - Series Unknown,2020,Early Stage
MPowered,2016,Gurugram,Technology,Asset Management Solutions,"Ashok Nichani, Shelly Nichani",21000000.0,Pre series A,2020,Early Stage
Leap Club,2020,Gurugram,Commerce,Community led professional network for women,Titan Capital,3000000.0,Venture - Series Unknown,2020,Early Stage
Ather Energy,2013,Bangalore,Technology,Electric scooter manufacturer,Hero MotoCorp,11241000.0,Series C,2020,Established
Gigforce,2016,Bangalore,Business,Provides staffing solutions for businesses,Unitus Venture,804000.0,Venture - Series Unknown,2020,Early Stage
Vegrow,2020,Bangalore,Agriculture,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Matrix Partners India, Ankur Capital",2500000.0,Seed Round,2020,Early Stage
Finn,2019,Bangalore,Technology,Neobanking startup that digitises all banking transactions,"Unicorn India, PointOne Capital, Astir Ventures",3000000.0,Pre series A,2020,Early Stage
Bijnis,2015,Chandigarh,Commerce,Provides a platform for manufacturers and retailers in digital transaction,"Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures",10000000.0,Series A,2020,Established
iNurture,2009,Bangalore,Education,"It provides a conducive and healthy teaching, learning environment",BlackSoil Capital,1340000.0,Venture - Series Unknown,2020,Established
StyleDotMe,2014,Gurugram,Beauty & Fashion,"mirrAR, helps jewellers sell jewellery with no physical inventory",Survam Partners,467000.0,Pre series A,2020,Established
Ripsey,2018,Mumbai,Health,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,Ah! Ventures,133000.0,Venture - Series Unknown,2020,Early Stage
ThriveFNC,2017,Pune,LifeStyle,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Rajesh Ranavat,3000000.0,Seed Round,2020,Early Stage
Vedantu,2011,Bangalore,Education,Onine learning platform,Coatue,100000000.0,Series D,2020,Established
Magicpin,2015,Bangalore,Commerce,"It is a local discovery, rewards, and commerce platform",Samsung Venture Investment Corporation,7000000.0,Series D,2020,Established
Procol,2018,Delhi,Agriculture,Commodity procurement platform,Sequoia Surge,3823000.0,Venture - Series Unknown,2020,Early Stage
Yumlane,2016,Mumbai,Technology,Online retailer that offers a range of on-the-go hot snacking and meals,Jetty Ventures,1000000.0,Pre series A,2020,Early Stage
Crio,2018,Bangalore,Education,A learning platform for developers,021 Capital,934000.0,Venture - Series Unknown,2020,Early Stage
Openapp,2016,Bangalore,Technology,Security solutions startup,Unicorn India Ventures,500000.0,Venture - Series Unknown,2020,Early Stage
PumPumPum,2016,Gurugram,Technology,Offers leased car services,LetsVenture Syndicate,293000.0,Venture - Series Unknown,2020,Early Stage
uFony Services Pvt ltd,2016,Pune,Education,"School Diary, a platform that brings education to smartphones",Chennai Angels,3000000.0,Venture - Series Unknown,2020,Early Stage
Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Beauty & Fashion,Owns and operates fashion commerce and retail management platform 6Degree,SucSEED Ventures,3000000.0,Pre series A,2020,Established
Uable,2016,Bangalore,Education,Online life skills development platform for children,3one4 Capital,3000000.0,Seed Round,2020,Early Stage
ParkSmart,2019,Delhi,Technology,Parking spot reservation platform,Ah! Ventures,198000.0,Venture - Series Unknown,2020,Early Stage
Plum,2019,Bangalore,Health,Provides health benefits to corporates,Incubate Fund,927000.0,Seed Round,2020,Early Stage
IncNut Digital,2011,Hyderabad,Commerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,RPSG Ventures,4000000.0,Series A,2020,Established
GigIndia,2017,Pune,Technology,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,Incubate Fund India,971000.0,Pre series A,2020,Early Stage
Specsmaker,2007,Chennai,Beauty & Fashion,Online optical chain for eye wears,Eight Road Ventures,3060000.0,Venture - Series Unknown,2020,Established
Piggy Ride,2016,Bangalore,Technology,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities","JAFCO Asia, Artha Venture Fund",1862000.0,Pre series A,2020,Early Stage
Chai Waale,2018,Chennai,Transport,Tea Brand,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Venture - Series Unknown,2020,Early Stage
NOTO,2016,Mumbai,Food & Beverages,A brand that makes healthy icecream,WEH Ventures,3000000.0,Pre seed round,2020,Early Stage
Cuemath,2013,Bangalore,Education,It helps students to learn math online,Trifecta Capital,2888000.0,Series B,2020,Established
Cars24,2015,Gurgaon,Technology,Online platform for selling used cars,Vivriti Capital,1328000.0,Venture - Series Unknown,2020,Established
JetSynthesys,2012,Pune,Technology,Digital entertainment and technology company,"Adar Poonawalla, Kris Gopalakrishnan",40000000.0,Venture - Series Unknown,2020,Established
Earth Energy EV,2017,Mumbai,Technology,Electric vehicles startup,LR Joshi,3000000.0,Seed Round,2020,Early Stage
Green Cure,2015,Delhi,LifeStyle,It sells herbal OTC products,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Established
Blue Sky Analytics,2018,Gurugram,Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed Round,2020,Early Stage
Edhusk,2017,Jaipur,Education,Provieds personalised learning to students by leveraging technology-driven models,Mumbai Angel Network,3000000.0,Venture - Series Unknown,2020,Early Stage
Decentro,2020,Bangalore,Technology,Automated API-based platform that enables financial integrations.,Y Combinator,15500000.0,Series A,2020,Early Stage
Zolostays,2015,Bangalore,LifeStyle,It offers affordable housing apartments to young professionals and students,"Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C,2020,Established
Frontier Markets,2011,Jaipur,Commerce,Women entreprenuers sells products and services to rural India,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre series A,2020,Established
Brainwired,2018,Kerala,Agriculture,India’s first livestock health monitoring company,"Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",3000000.0,Venture - Series Unknown,2020,Early Stage
Aye Finance,2014,Gurugram,Technology,A finance lender to SMEs,Invest in Vision,16753000.0,Series E,2020,Established
Paper Boat,2013,Food & Beverages,Transport,Ecommerce platform for beverages and snacks,"Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",3700000.0,Venture - Series Unknown,2020,Established
Ken42,2019,Bangalore,Education,A platform that caters to evolving needs of institutions,Turbostart,1470000.0,Venture - Series Unknown,2020,Early Stage
Forbidden Foods,2016,Delhi,Food & Beverages,Packaged snacks company,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed Round,2020,Early Stage
Universal Sportsbiz,2012,Bangalore,Beauty & Fashion,Indian fashion industry with on-trend products,NB Ventures,530000.0,Venture - Series Unknown,2020,Established
Gobbly,2016,Gurugram,Commerce,A contactless retail store filled with fruits and veggies,Sauce vc,500000.0,Seed Round,2020,Early Stage
Aerostrovilos,2016,Chennai,Transport,Manufactures micro gas turbines for power-based application,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020,Early Stage
Mitron,2016,Bangalore,Media & Entertainment,Short Video and Social Platform,"3One4 Capital, LetsVenture",267000.0,Seed Round,2020,Early Stage
Bulk MRO,2015,Mumbai,Commerce,A full stack B2B platform for industrial supplies,Stride Ventures,3344000.0,Venture - Series Unknown,2020,Established
Inspektlabs,2019,Delhi,Technology,Focuses on building computer vision products for physical asset inspections,"Better Capital, Titan Capital",600000.0,Pre series A,2020,Early Stage
Big Bang Boom Solutions,2018,Chennai,Government,It developed integrated intellectual properties for defense,Mumbai Angels Network,1000000.0,Series A,2020,Early Stage
Flinto,2013,Chennai,Education,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,Lightbox Ventures,7200000.0,Pre series B,2020,Established
Zetwerk,2018,Bangalore,Commerce,B2B marketplace that connects manufacturing companies for industrial equipements,Greenoaks,21000000.0,Series C,2020,Early Stage
ChitMonks,2016,Hyderabad,Technology,Offers enterprise private platform for chit fund firms,Unicorn India Ventures,650000.0,Pre series A,2020,Early Stage
Walrus,2019,Bangalore,Technology,It provides banking solutions for teens and young adults,Better Capital,3000000.0,Pre-Seed,2020,Early Stage
Arth Designbuild,2016,Hyderebad,Real Estate,Construction technology and solutions provider,"Startup-O, Eden Ventures",1100000.0,Venture - Series Unknown,2020,Early Stage
